ProductName,Brand,Category,YourOwnURL,Competitor1URL,Competitor2URL,Competitor3URL,Competitor4URL,Competitor5URL
"Apple iPhone 7 - 4.7"" - 128GB - 2GB - 12MP - Jet Black - Without Face Time",Apple,Smartphones,https://www.daraz.pk/iphone-7-128gb-without-face-time-jet-black-apple-mpg51573.html,http://yayvo.com/iphone-7-without-facetime-4-7-retina-hd-display-128gb-2gb-ram-12mp-jet-black.html,http://www.shophive.com/apple-iphone-7-jet-black-128gb,,,
Infinix Hot Smart X5010 - 4.99 Inches HD - 16GB- 1 GB - 8MP - 3G - Gold,Infinix,Smartphones,https://www.daraz.pk/infinix-hot-4-x557-16gb-2gb-luxurious-gold-6382106.html,http://yayvo.com/hot-smart-x5010-4-99-inches-hd-16gb-1-gb-8mp-3g-gold-2.html,,,,
Silicon Screen Protector Film for MI Band 2,Silicon,Smart,https://www.daraz.pk/silicon-screen-protector-film-for-mi-band-2-6708959.html,http://yayvo.com/smart-fitness-band-tw64s-heart-rate-sensor-sports.html,,,,
